nivel,regiao,uf,uf_nome,co_ibge6,municipio,populacao_2025,registros,estabelecimentos_cnes,municipios_com_registro,leitos_existentes,leitos_sus,uti_total_exist,uti_total_sus,pct_leitos_sus,pct_uti_sus,leitos_existentes_por_10k_hab,leitos_sus_por_10k_hab,uti_existente_por_100k_hab,uti_sus_por_100k_hab,gap_estimado_leitos_sus_para_media_nacional,gap_estimado_uti_sus_para_media_nacional,sinais_de_oportunidade,score_heuristico_oportunidade
municipio,SUDESTE,SP,São Paulo,355240,Sumaré,291116,2,2,1,299,211,76,36,70.5685618729097,47.368421052631575,10.270819879360804,7.247969881421838,26.106431800381976,12.366204537023044,271.2173566704205,7.679464232010076,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,SUDESTE,SP,São Paulo,352690,Limeira,301292,4,4,1,473,246,109,55,52.00845665961945,50.45871559633027,15.699056065212485,8.164836769645394,36.17752877607106,18.25471635489824,253.07333099501344,0.0,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,SUDESTE,SP,São Paulo,350160,Americana,247571,5,5,1,501,172,73,23,34.3313373253493,31.506849315068493,20.23661899010789,6.947501928739634,29.486490744069375,9.290264207035557,238.08750191762965,14.145909669626432,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,NORDESTE,RN,Rio Grande do Norte,240325,Parnamirim,271713,4,4,1,237,229,27,20,96.62447257383965,74.07407407407408,8.722438749710172,8.428010437483668,9.9369555376445,7.360707805662593,221.0773733940765,20.76821014603167,uti_sus_por_100k_abaixo_de_50pct_media_nacional,3
municipio,SUDESTE,SP,São Paulo,354580,Santa Bárbara d'Oeste,189456,2,2,1,176,110,23,18,62.5,78.26086956521739,9.289755932775948,5.806097457984968,12.140021957604931,9.500886749429947,203.82325782626575,10.426251307175496,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,SUL,RS,Rio Grande do Sul,432300,Viamão,231996,2,2,1,203,198,20,15,97.53694581280789,75.0,8.750150864670081,8.534629907412198,8.620838290315351,6.465628717736513,186.2883863412209,19.809014221030143,uti_sus_por_100k_abaixo_de_50pct_media_nacional,3
municipio,SUL,PR,Paraná,410180,Araucária,162247,1,1,1,83,83,18,18,100.0,100.0,5.115656992116958,5.115656992116958,11.094195886518703,11.094195886518703,185.75307254738905,6.343773730234477,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,NORDESTE,BA,Bahia,290570,Camaçari,321636,9,9,1,598,357,49,8,59.6989966555184,16.3265306122449,18.59244611921551,11.099503786889528,15.234613040828764,2.4872837617679613,175.77202809205727,40.25872902116955,uti_sus_por_100k_abaixo_de_50pct_media_nacional,3
municipio,NORDESTE,CE,Ceará,230765,Maracanaú,251613,8,8,1,339,260,20,10,76.69616519174042,50.0,13.473071741126255,10.333329358975886,7.948714891519914,3.974357445759957,156.78284863736283,27.75237717545155,uti_sus_por_100k_abaixo_de_50pct_media_nacional,3
municipio,SUDESTE,RJ,Rio de Janeiro,330070,Cabo Frio,238438,8,8,1,426,241,41,5,56.57276995305164,12.195121951219512,17.8662797037385,10.107449315964736,17.19524572425536,2.0969811858848004,153.95919870354678,30.775581186029008,uti_sus_por_100k_abaixo_de_50pct_media_nacional,3
municipio,SUDESTE,SP,São Paulo,355620,Valinhos,132258,2,2,1,231,70,81,11,30.303030303030305,13.580246913580247,17.465862178469354,5.292685508627077,61.24393231411332,8.31707722784255,149.07797289917582,8.8441809464172,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,SUDESTE,SP,São Paulo,355170,Sertãozinho,132176,2,2,1,157,83,20,14,52.86624203821656,70.0,11.878101924706453,6.279506113061373,15.131340031473187,10.591938022031231,135.9421444897206,5.831877548228764,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,SUL,SC,Santa Catarina,420200,Balneário Camboriú,151674,4,4,1,353,118,56,16,33.42776203966006,28.57142857142857,23.273599957804237,7.779843611957224,36.9212917177631,10.548940490789455,133.23948994775057,6.757385571132805,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,CENTRO-OESTE,GO,Goiás,520800,Formosa,121559,3,3,1,140,71,20,10,50.71428571428571,50.0,11.517041107610297,5.840785133145222,16.452915868014706,8.226457934007353,130.35567835330122,8.238887565708907,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
