co_ibge6,municipio,uf,regiao,populacao_2025,ubs,ubs_por_10k_hab,pct_populacao_vinculada_aps,media_indicadores_previne,leitos_sus,leitos_sus_por_10k_hab,uti_total_sus,uti_sus_por_100k_hab,gap_estimado_leitos_sus_para_media_nacional,gap_estimado_uti_sus_para_media_nacional,sinais_aps,sinais_hospitalares,sinais_integrados,oportunidades_geradas,score_integrado
310420,Arcos,MG,SUDESTE,43653,15,3.4361899525805786,35.692534834363755,34.5,44,10.079490527569698,0,0.0,28.30875070670751,6.549759038046471,vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_entre_50_75pct_media_nacional,aps_fragil_e_leitos_sus_baixos;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;regulacao_integrada_aps_e_retaguarda,16
316070,Santos Dumont,MG,SUDESTE,43218,20,4.627701420704336,34.57549778761062,19.666666666666668,47,10.875098338655189,6,13.883104262113008,24.5881975589876,0.4844910110712287,vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_entre_50_75pct_media_nacional,aps_fragil_e_leitos_sus_baixos;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;regulacao_integrada_aps_e_retaguarda,16
292930,São Gonçalo dos Campos,BA,NORDESTE,42171,12,2.845557373550544,43.44412894604977,31.833333333333332,43,10.196580588556117,0,0.0,26.85390067240654,6.327397622006682,vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_entre_50_75pct_media_nacional,aps_fragil_e_leitos_sus_baixos;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;regulacao_integrada_aps_e_retaguarda,16
355640,Vargem Grande do Sul,SP,SUDESTE,41256,8,1.9391118867558659,27.916848590695192,25.833333333333332,35,8.483614504556913,0,0.0,33.338254396168075,6.190109703196691,vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_entre_50_75pct_media_nacional,aps_fragil_e_leitos_sus_baixos;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;regulacao_integrada_aps_e_retaguarda,16
314110,Matozinhos,MG,SUDESTE,39529,12,3.035745908067495,31.19034893487058,38.833333333333336,38,9.613195375547066,0,0.0,27.4775755775191,5.9309881340329165,vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_entre_50_75pct_media_nacional,aps_fragil_e_leitos_sus_baixos;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;regulacao_integrada_aps_e_retaguarda,16
355450,Tietê,SP,SUDESTE,38723,6,1.5494667252020762,20.31791160506591,24.0,34,8.780311442811765,0,0.0,30.14248169921506,5.810054732327067,vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_entre_50_75pct_media_nacional,aps_fragil_e_leitos_sus_baixos;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;regulacao_integrada_aps_e_retaguarda,16
350860,Cachoeira Paulista,SP,SUDESTE,32534,13,3.995819757791849,37.445354350101596,16.666666666666668,31,9.528493268580561,0,0.0,22.890749673379204,4.88144825198277,vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_entre_50_75pct_media_nacional,aps_fragil_e_leitos_sus_baixos;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;regulacao_integrada_aps_e_retaguarda,16
330300,Miracema,RJ,SUDESTE,28416,13,4.574887387387387,44.61652176973707,31.666666666666668,35,12.317004504504505,6,21.114864864864867,12.06951320829727,0.0,vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_entre_50_75pct_media_nacional,aps_fragil_e_leitos_sus_baixos;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;regulacao_integrada_aps_e_retaguarda,16
316200,São Gonçalo do Sapucaí,MG,SUDESTE,24497,10,4.0821325060211455,36.36846405228758,30.5,29,11.838184267461322,0,0.0,11.577909102746979,3.675565188074688,vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_entre_50_75pct_media_nacional,aps_fragil_e_leitos_sus_baixos;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;regulacao_integrada_aps_e_retaguarda,16
500190,Bataguassu,MS,CENTRO-OESTE,24222,11,4.541326067211625,41.73887685385769,35.0,29,11.972586904467015,0,0.0,11.122386997866569,3.63430379171103,vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_entre_50_75pct_media_nacional,aps_fragil_e_leitos_sus_baixos;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;regulacao_integrada_aps_e_retaguarda,16
